Day|Food Name|Amount|Energy (kcal)|Alcohol (g)|Caffeine (mg)|Water (g)|B1 (Thiamine) (mg)|B2 (Riboflavin) (mg)|B3 (Niacin) (mg)|B5 (Pantothenic Acid) (mg)|B6 (Pyridoxine) (mg)|B12 (Cobalamin) (µg)|Folate (µg)|Vitamin A (IU)|Vitamin C (mg)|Vitamin D (IU)|Vitamin E (mg)|Vitamin K (µg)|Calcium (mg)|Copper (mg)|Iron (mg)|Magnesium (mg)|Manganese (mg)|Phosphorus (mg)|Potassium (mg)|Selenium (µg)|Sodium (mg)|Zinc (mg)|Carbs (g)|Fiber (g)|Starch (g)|Sugars (g)|Net Carbs (g)|Fat (g)|Cholesterol (mg)|Monounsaturated (g)|Polyunsaturated (g)|Saturated (g)|Trans-Fats (g)|Omega-3 (g)|Omega-6 (g)|Cystine (g)|Histidine (g)|Isoleucine (g)|Leucine (g)|Lysine (g)|Methionine (g)|Phenylalanine (g)|Protein (g)|Threonine (g)|Tryptophan (g)|Tyrosine (g)|Valine (g)|Category
11/15/2020|Acorn Squash|100.00 g|56|0|0|82.9|0.17|0.01|0.88|0.5|0.19|0|19|428|10.8|0|0.12|4.4|44|0.09|0.93|43|0.24|45|437|0.7|4|0.17|14.58|4.4|8.58|1.28|10.18|0.14|0|0.01|0.06|0.03|0|0.04|0.02|0.01|0.02|0.04|0.06|0.04|0.01|0.04|1.12|0.03|0.02|0.04|0.05|Vegetables
11/15/2020|Alfalfa Sprouts|100.00 g|23|0|0|92.82|0.08|0.13|0.48|0.56|0.03|0|36|155|8.2|0|0.02|30.5|32|0.16|0.96|27|0.19|70|79|0.6|6|0.92|2.1|1.9|0|0.2|0.2|0.69|0|0.06|0.41|0.07|0|0.18|0|0.05|0.11|0.14|0.27|0.21|0.04|0.2|3.99|0.13|0.05|0.15|0.15|Vegetables
11/15/2020|Artichoke Hearts or Globe, Raw|100.00 g|47|0|0|84.94|0.07|0.07|1.05|0.34|0.12|0|68|13|11.7|0|0.19|14.8|44|0.23|1.28|60|0.26|90|370|0.2|94|0.49|10.51|9.83|0|0.99|0.59|0.15|0|0.01|0.06|0.04|0|0.02|0|0|0.13|0.2|0.31|0.29|0|0.26|3.27|0.25|0|0.13|0.27|Vegetables
11/15/2020|Arugula, Raw|100.00 g|25|0|0|91.71|0.04|0.09|0.31|0.44|0.07|0|97|2373|15|0|0.43|108.6|160|0.08|1.46|47|0.32|52|369|0.3|27|0.47|3.65|1.6|0|2.05|2.03|0.66|0|0.05|0.32|0.09|0|0.17|0||||||||2.58|||||Vegetables
11/15/2020|Asparagus, Raw|100.00 g|20|0|0|93.22|0.14|0.14|0.98|0.27|0.09|0|52|756|5.6|0|1.13|41.6|24|0.19|2.14|14|0.16|52|202|2.3|2|0.54|3.88|2.1|0.08|1.88|1.74|0.12|0|0|0.05|0.04|0|0.01|0|0.03|0.05|0.08|0.13|0.1|0.03|0.08|2.2|0.08|0.03|0.05|0.11|Vegetables
11/15/2020|Beet Greens, Raw|100.00 g|22|0|0|91.02|0.1|0.22|0.4|0.25|0.11|0|15|6326|30|0|1.5|400|117|0.19|2.57|70|0.39|41|762|0.9|226|0.38|4.33|3.7|0.13|0.5|0.63|0.13|0|0.03|0.05|0.02|0|0|0|0.02|0.03|0.05|0.1|0.06|0.02|0.06|2.2|0.07|0.04|0.05|0.07|Vegetables
11/15/2020|Beets, Raw|100.00 g|43|0|0|87.58|0.03|0.04|0.33|0.16|0.07|0|109|33|4.9|0|0.04|0.2|16|0.08|0.8|23|0.33|40|325|0.7|78|0.35|9.56|2.8|0.48|6.76|6.71|0.17|0|0.03|0.06|0.03|0|0.01|0|0.02|0.02|0.05|0.07|0.06|0.02|0.05|1.61|0.05|0.02|0.04|0.06|Vegetables
11/15/2020|Chinese Cabbage, Pak-Choi, Raw|100.00 g|13|0|0|95.32|0.04|0.07|0.5|0.09|0.19|0|66|4468|45|0|0.09|45.5|105|0.02|0.8|19|0.16|37|252|0.5|65|0.19|2.18|1|0|1.18|1.15|0.2|0|0.02|0.1|0.03|0|0.06|0|0.02|0.03|0.09|0.09|0.09|0.01|0.04|1.5|0.05|0.02|0.03|0.07|Vegetables
11/15/2020|Broccoli, Raw|100.00 g|34|0|0|89.3|0.07|0.12|0.64|0.57|0.18|0|63|623|89.2|0|1.44|102|47|0.05|0.73|21|0.21|66|316|2.5|33|0.41|6.64|2.6|0|1.7|4.04|0.37|0|0.03|0.11|0.11|0|0.06|0|0.03|0.06|0.08|0.13|0.14|0.04|0.12|2.82|0.09|0.03|0.05|0.13|Vegetables
11/15/2020|Brussels Sprouts, Raw|100.00 g|43|0|0|86|0.14|0.09|0.75|0.31|0.22|0|61|754|85|0|0.88|177|42|0.07|1.4|23|0.34|69|389|1.6|25|0.42|8.95|3.8|2.95|2.2|5.07|0.3|0|0.02|0.15|0.06|0|0.1|0|0.02|0.08|0.13|0.15|0.15|0.03|0.1|3.38|0.12|0.04|0.05|0.16|Vegetables
